,2019,2020,2021,2022
Cash Ratio,1.01,2.72,0.63,1.00
Current Ratio,3.04,4.91,2.60,3.16
Quick Ratio,2.96,4.83,2.53,3.09
CFO/Avg Current Liab,0,1.85,1.70,1.81
Common Equity/Total Assets,-3.57,-2.22,-2.79,-1.61
Long-Term Debt/Equity (%),152.52,161.58,164.13,175.55
Long-Term Debt/Capital (%),87.31,86.85,88.42,88.83
Long-Term Debt/Total Assets (%),57.49,59.00,59.05,60.70
Total Debt/Equity (%),152.52,161.58,165.93,175.55
Total Debt/Capital (%),87.31,86.85,89.39,88.83
Total Debt/Total Assets (%),57.49,59.00,59.70,60.70
CFO/Total Liabilities,8.91,7.97,7.92,8.10
CFO/CapEx,0,0,0,0
Altman's Z-Score,1.29,0.35,0.30,0.73
