,2018,2019,2020,2021,2022
Cash Ratio,0,0.04,0.04,0.06,0.05
Current Ratio,0,0.97,1.33,1.00,1.19
Quick Ratio,0,0.56,0.40,0.37,0.48
CFO/Avg Current Liab,0,0.79,0.09,-0.20,-0.30
Common Equity/Total Assets,0,8.06,5.83,1.60,27.24
Long-Term Debt/Equity (%),0,30.27,40.13,42.14,39.27
Long-Term Debt/Capital (%),0,32.84,47.91,52.29,23.63
Long-Term Debt/Total Assets (%),0,9.78,12.25,10.18,9.52
Total Debt/Equity (%),0,52.39,49.14,70.57,50.72
Total Debt/Capital (%),0,56.85,58.66,87.57,30.52
Total Debt/Total Assets (%),0,16.93,15.00,17.04,12.30
CFO/Total Liabilities,0,8.66,1.75,-3.67,-6.62
CFO/CapEx,1.72,1.56,0.33,-1.01,-1.39
Altman's Z-Score,0,0.58,0.51,0.41,1.06
