,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,21001,19899,19156,19044,16135,16706
ST Debt,0,1236,645,1442,1032,706,1011
LT Debt,0,19765,19254,17714,18012,15429,15695
Total Debt/EBITDA,0,3.03,1.83,2.97,3.51,1.50,1.97
Net Debt/EBITDA,0,2.14,1.58,2.27,2.21,1.09,1.36
Total Debt/EBIT,0,4.79,2.63,5.44,7.45,2.05,2.93
Net Debt/EBIT,0,3.38,2.28,4.16,4.70,1.48,2.02
EBITDA to Interest Expense,8.33,7.58,9.75,6.92,6.57,14.68,12.78
EBITDA-CapEx/Interest Expense,8.11,7.38,9.71,6.91,6.40,13.55,12.42
EBIT to Interest Expense,5.00,4.79,6.77,3.77,3.09,10.79,8.61
Interest Expense,858,914,1118,933,827,731,662
Common Equity/Total Assets,0,35.09,38.52,28.18,26.63,32.75,38.26
Long-Term Debt/Equity (%),0,73.18,68.84,125.68,138.50,82.34,73.87
Long-Term Debt/Capital (%),0,39.34,37.87,48.19,50.06,41.32,38.83
Long-Term Debt/Total Assets (%),0,24.72,24.88,29.27,29.30,24.49,25.90
Total Debt/Equity (%),0,77.76,71.15,135.92,146.44,86.10,78.63
Total Debt/Capital (%),0,41.80,39.14,52.11,52.92,43.21,41.33
Total Debt/Total Assets (%),0,26.27,25.72,31.65,30.98,25.62,27.57
Net Debt to Equity,0,54.84,61.60,103.80,92.30,62.35,54.29
Net Debt/Capital (%),0,33.63,35.76,42.53,38.87,34.01,31.57
EBITDA,7149,6928,10898,6458,5430,10729,8460
EBITDA-CapEx,6962,6741,10852,6449,5295,9906,8225
Operating Income (Loss),4287,4382,7569,3520,2556,7887,5702
