,2020,2021,2022,2023
Return on Common Equity (%),0,161.17,54.10,52.27
Return on Assets (%),0,9.62,5.34,5.63
Return on Capital (%),0,25.63,14.65,14.28
Return on Invested Capital (%),0,11.25,9.96,10.99
Gross Margin (%),100.00,100.00,100.00,100.00
EBITDA Margin (%),22.39,23.74,21.02,21.29
Operating Margin (%),20.30,21.42,18.42,18.53
Incremental Operating Margin (%),0,44.22,-17.93,20.23
Pretax Margin (%),11.90,22.60,12.12,11.64
Profit Margin (%),8.12,16.66,8.62,8.31
Net Income to Common Margin (%),8.12,16.66,8.62,8.31
Effective Tax Rate (%),27.46,24.57,27.21,27.82
Dvd Payout Ratio (%),29.78,14.65,24.35,23.60
Sustainable Growth Rate (%),0,137.55,40.93,39.93
