,2019,2020,2021,2022
Cash Ratio,0.23,0.30,0.18,0.19
Current Ratio,0.51,0.67,0.60,0.45
Quick Ratio,0.51,0.67,0.48,0.45
CFO/Avg Current Liab,0,0.73,1.14,1.21
Common Equity/Total Assets,-17.23,-17.54,-17.24,-17.95
Long-Term Debt/Equity (%),788.42,744.59,586.90,665.77
Long-Term Debt/Capital (%),116.01,121.49,119.66,125.67
Long-Term Debt/Total Assets (%),79.02,78.30,76.47,77.12
Total Debt/Equity (%),830.81,761.62,598.26,665.77
Total Debt/Capital (%),122.25,124.27,121.97,125.67
Total Debt/Total Assets (%),83.27,80.09,77.95,77.12
CFO/Total Liabilities,13.55,7.47,12.38,12.90
CFO/CapEx,4.35,4.81,6.89,5.79
Altman's Z-Score,1.17,0.58,1.18,0.89
